Time  (s),Displacement  (m),Velocity (m/s),Acceleration  (m/s²),Car Mass  (kg),Momentum  (kg•m/s),Force (N),Potential Energy  (J),Kinetic Energy  (J),Sample ID
0.898,0.0019,0.073,0,0.6,0.0438,,0,0.0016,
0.9112,0.0038,0.1706,5.2639,0.6,0.1023,3.1583,0.0002,0.0087,
0.9396,0.0094,0.2596,4.0274,0.6,0.1558,2.4164,0.0005,0.0202,
0.9573,0.0151,0.3467,4.2105,0.6,0.208,2.5263,0.0011,0.0361,
0.9775,0.0226,0.4174,3.7524,0.6,0.2504,2.2515,0.0022,0.0523,
0.998,0.0321,0.4995,3.8271,0.6,0.2997,2.2963,0.004,0.0748,
1.0191,0.0434,0.5765,3.9285,0.6,0.3459,2.3571,0.0063,0.0997,
1.0374,0.0547,0.6535,3.7157,0.6,0.3921,2.2294,0.0103,0.1281,
1.0593,0.0698,0.7241,3.3581,0.6,0.4345,2.0149,0.0152,0.1573,
1.0792,0.0849,0.7936,3.2413,0.6,0.4762,1.9448,0.0219,0.1889,
1.0996,0.1018,0.8546,3.0676,0.6,0.5128,1.8406,0.0298,0.2191,
1.1189,0.1188,0.9153,3.3163,0.6,0.5492,1.9898,0.04,0.2513,
1.1388,0.1377,0.9847,3.1895,0.6,0.5908,1.9137,0.053,0.2909,
1.1591,0.1584,1.0434,2.9303,0.6,0.626,1.7582,0.0678,0.3266,
1.1785,0.1791,1.101,2.942,0.6,0.6606,1.7652,0.086,0.3637,
1.1985,0.2018,1.1593,2.4696,0.6,0.6956,1.4817,0.1081,0.4032,
1.2192,0.2263,1.2012,2.0817,0.6,0.7207,1.249,0.1327,0.4329,
1.2393,0.2508,1.2442,2.0437,0.6,0.7465,1.2262,0.1598,0.4644,
1.2586,0.2753,1.2818,1.6751,0.6,0.7691,1.005,0.1918,0.4929,
1.279,0.3017,1.3104,1.6181,0.6,0.7862,0.9708,0.2267,0.5151,
1.2989,0.3281,1.3469,1.4147,0.6,0.8081,0.8488,0.2672,0.5442,
1.3196,0.3564,1.3675,0.8473,0.6,0.8205,0.5084,0.308,0.561,
1.3389,0.3828,1.381,0.6724,0.6,0.8286,0.4034,0.3548,0.5721,
1.3592,0.4111,1.3941,0.4926,0.6,0.8365,0.2956,0.4049,0.583,
1.3795,0.4394,1.401,0.456,0.6,0.8406,0.2736,0.4582,0.5889,
1.3996,0.4677,1.4125,0.374,0.6,0.8475,0.2244,0.5147,0.5986,
1.4195,0.4959,1.416,-0.1996,0.6,0.8496,-0.1197,0.5744,0.6016,
1.4395,0.5242,1.4045,-0.5092,0.6,0.8427,-0.3055,0.6372,0.5918,
1.4598,0.5525,1.3955,-0.0391,0.6,0.8373,-0.0235,0.6987,0.5842,
1.4787,0.5789,1.4024,-0.1035,0.6,0.8414,-0.0621,0.7675,0.59,
1.4988,0.6072,1.3909,-1.1113,0.6,0.8345,-0.6668,0.8394,0.5804,
1.5194,0.6355,1.3569,-1.4217,0.6,0.8142,-0.853,0.9092,0.5524,
1.5391,0.6619,1.3334,-0.9331,0.6,0.8,-0.5599,0.9817,0.5334,
1.559,0.6883,1.32,-0.9735,0.6,0.792,-0.5841,1.0568,0.5227,
1.5791,0.7147,1.2944,-1.6296,0.6,0.7766,-0.9777,1.1344,0.5026,
1.5998,0.7411,1.2533,-2.0732,0.6,0.752,-1.2439,1.2087,0.4712,
1.6197,0.7656,1.2103,-2.1172,0.6,0.7262,-1.2703,1.2793,0.4395,
1.6387,0.7882,1.1709,-2.0724,0.6,0.7025,-1.2434,1.3517,0.4113,
1.6584,0.8109,1.1301,-2.1483,0.6,0.678,-1.289,1.4259,0.3831,
1.6788,0.8335,1.0847,-2.2435,0.6,0.6508,-1.3461,1.4954,0.353,
1.6983,0.8542,1.0406,-2.2656,0.6,0.6243,-1.3593,1.5665,0.3248,
1.7187,0.875,0.9943,-2.5626,0.6,0.5966,-1.5376,1.6324,0.2966,
1.7381,0.8938,0.9389,-2.9615,0.6,0.5633,-1.7769,1.6995,0.2644,
1.7589,0.9127,0.8751,-3.1104,0.6,0.5251,-1.8662,1.7609,0.2297,
1.7791,0.9297,0.8114,-3.1731,0.6,0.4869,-1.9039,1.8163,0.1975,
1.7983,0.9447,0.7501,-2.9583,0.6,0.4501,-1.775,1.8724,0.1688,
1.8193,0.9598,0.6929,-2.973,0.6,0.4157,-1.7838,1.9221,0.144,
1.8391,0.973,0.6291,-3.4593,0.6,0.3775,-2.0756,1.9652,0.1187,
1.8582,0.9843,0.5585,-3.521,0.6,0.3351,-2.1126,2.0087,0.0936,
1.8799,0.9957,0.4859,-3.9109,0.6,0.2915,-2.3465,2.0379,0.0708,
1.8967,1.0032,0.4107,-3.9031,0.6,0.2464,-2.3419,2.0673,0.0506,
1.9167,1.0107,0.3441,-3.5551,0.6,0.2065,-2.1331,2.0894,0.0355,
1.9349,1.0164,0.2753,-4.3839,0.6,0.1652,-2.6303,2.1042,0.0227,
1.9509,1.0202,0.1955,-5.2925,0.6,0.1173,-3.1755,2.1191,0.0115,
1.975,1.0239,0.0606,-4.1563,0.6,0.0364,-2.4938,2.1117,0.0011,
2.0308,1.0221,-0.0909,-3.4481,0.6,-0.0546,-2.0688,2.0968,0.0025,
2.0562,1.0183,-0.1971,-3.788,0.6,-0.1183,-2.2728,2.0746,0.0117,
2.0795,1.0126,-0.2762,-3.6617,0.6,-0.1657,-2.197,2.0525,0.0229,
2.0977,1.007,-0.3477,-3.8036,0.6,-0.2086,-2.2821,2.0232,0.0363,
2.1173,0.9994,-0.4198,-3.4979,0.6,-0.2519,-2.0988,1.9869,0.0529,
2.1381,0.99,-0.4888,-3.247,0.6,-0.2933,-1.9482,1.9436,0.0717,
2.1596,0.9787,-0.5571,-3.4686,0.6,-0.3342,-2.0811,1.9007,0.0931,
2.1788,0.9674,-0.6293,-3.4513,0.6,-0.3776,-2.0708,1.8513,0.1188,
2.1985,0.9542,-0.6912,-2.8942,0.6,-0.4147,-1.7365,1.7954,0.1433,
2.2197,0.9391,-0.7473,-2.8387,0.6,-0.4484,-1.7032,1.7403,0.1675,
2.239,0.924,-0.8058,-2.8229,0.6,-0.4835,-1.6937,1.6792,0.1948,
2.2595,0.907,-0.8594,-2.7678,0.6,-0.5156,-1.6607,1.6191,0.2216,
2.2785,0.8901,-0.9149,-2.657,0.6,-0.5489,-1.5942,1.5535,0.2511,
2.2986,0.8712,-0.963,-2.3227,0.6,-0.5778,-1.3936,1.4827,0.2782,
2.3196,0.8505,-1.0103,-2.1361,0.6,-0.6062,-1.2817,1.4134,0.3062,
2.3397,0.8297,-1.0509,-2.0847,0.6,-0.6306,-1.2508,1.3456,0.3313,
2.3591,0.809,-1.0926,-2.2816,0.6,-0.6556,-1.369,1.2733,0.3581,
2.3794,0.7863,-1.1416,-2.2739,0.6,-0.685,-1.3643,1.2029,0.391,
2.3988,0.7637,-1.183,-2.0302,0.6,-0.7098,-1.2181,1.1288,0.4198,
2.4192,0.7392,-1.2223,-1.7526,0.6,-0.7334,-1.0515,1.0568,0.4482,
2.4389,0.7147,-1.2534,-1.4185,0.6,-0.752,-0.8511,0.9817,0.4713,
2.4598,0.6883,-1.2797,-1.2086,0.6,-0.7678,-0.7251,0.9143,0.4913,
2.4787,0.6638,-1.3016,-1.0373,0.6,-0.781,-0.6224,0.8443,0.5083,
2.4989,0.6374,-1.3201,-1.0539,0.6,-0.7921,-0.6323,0.7769,0.5228,
2.5187,0.611,-1.3437,-0.7586,0.6,-0.8062,-0.4552,0.7077,0.5417,
