Time  (s),Displacement  (m),Velocity (m/s),Acceleration  (m/s²),Car Mass  (kg),Momentum  (kg•m/s),Force (N),Potential Energy  (J),Kinetic Energy  (J),Sample ID
0,0,0,0,,,,,,
0.2037,0.0019,0.0342,0,0.6,0.0205,,0,0.0004,
0.2359,0.0038,0.0937,2.8462,0.6,0.0562,1.7077,0.0001,0.0026,
0.2507,0.0057,0.1506,3.7003,0.6,0.0904,2.2202,0.0002,0.0068,
0.2721,0.0094,0.2267,3.695,0.6,0.136,2.217,0.0006,0.0154,
0.2992,0.017,0.3306,4.2926,0.6,0.1983,2.5756,0.0013,0.0328,
0.3189,0.0245,0.4242,4.6244,0.6,0.2545,2.7746,0.0024,0.054,
0.339,0.0339,0.5146,4.3818,0.6,0.3088,2.6291,0.0043,0.0794,
0.3593,0.0453,0.6012,4.0238,0.6,0.3607,2.4143,0.0072,0.1084,
0.3799,0.0585,0.6791,3.9641,0.6,0.4075,2.3785,0.0109,0.1383,
0.3983,0.0717,0.7554,3.679,0.6,0.4532,2.2074,0.0166,0.1712,
0.4196,0.0886,0.8238,3.3946,0.6,0.4943,2.0367,0.0236,0.2036,
0.4395,0.1056,0.895,3.7246,0.6,0.537,2.2348,0.0327,0.2403,
0.4597,0.1245,0.9732,3.7555,0.6,0.5839,2.2533,0.0434,0.2841,
0.4783,0.1433,1.0409,3.4976,0.6,0.6246,2.0986,0.0582,0.3251,
0.4994,0.1659,1.1117,3.3249,0.6,0.667,1.995,0.0751,0.3708,
0.5191,0.1886,1.1766,2.8457,0.6,0.706,1.7074,0.0958,0.4153,
0.5395,0.2131,1.2255,2.3057,0.6,0.7353,1.3834,0.1191,0.4505,
0.5591,0.2376,1.2689,2.2901,0.6,0.7613,1.374,0.147,0.483,
0.5796,0.264,1.3174,2.1931,0.6,0.7904,1.3159,0.1777,0.5206,
0.5992,0.2904,1.357,1.7952,0.6,0.8142,1.0771,0.2139,0.5525,
0.6199,0.3187,1.3895,1.5497,0.6,0.8337,0.9298,0.2506,0.5792,
0.6386,0.3451,1.4181,0.9982,0.6,0.8509,0.5989,0.296,0.6033,
0.6598,0.3753,1.428,0.7639,0.6,0.8568,0.4584,0.342,0.6118,
0.6795,0.4035,1.4489,1.1652,0.6,0.8693,0.6991,0.3913,0.6298,
0.6988,0.4318,1.4734,0.8945,0.6,0.884,0.5367,0.4473,0.6512,
0.7192,0.462,1.484,0.2894,0.6,0.8904,0.1736,0.507,0.6607,
0.7395,0.4922,1.4852,0.0517,0.6,0.8911,0.031,0.5703,0.6618,
0.7598,0.5223,1.4861,-0.0094,0.6,0.8917,-0.0056,0.6329,0.6626,
0.7788,0.5506,1.4849,-0.0536,0.6,0.891,-0.0322,0.7032,0.6615,
0.7992,0.5808,1.484,-0.3792,0.6,0.8904,-0.2275,0.7769,0.6607,
0.8195,0.611,1.4695,-1.17,0.6,0.8817,-0.702,0.8492,0.6478,
0.839,0.6393,1.4378,-1.2724,0.6,0.8627,-0.7634,0.9245,0.6201,
0.8588,0.6675,1.4196,-0.8371,0.6,0.8518,-0.5023,1.0029,0.6046,
